대학,언론사,기사 제목,기사 요약,발행시각,언론사 링크,네이버 링크
고려대학교,연합뉴스,"""수시접수 일반대학 73％, 수험번호로 실제 경쟁률 유추 가능""","24일 국회 교육위원회 위원장인 국민의힘 김희정 의원이 한국대학교육협의회를 통해 분석한 결과, 자료를... 이들 대학에는 연세대와 고려대, 한양대 등 서울 소재 대학 30개교뿐만 아니라 부산대와 인천대, 충북대...",2026-09-24 08:00,https://www.yna.co.kr/view/AKR20260923185700001?input=1195m,https://n.news.naver.com/mnews/article/001/0016334307?sid=102
연세대학교,뉴스1,수능 두 달 전 추석 연휴…새 진도보다 '약점 보완'부터,수능 전에 논술고사를 치르는 대학에 지원한 수험생의 경우 대학별 기출문제와 채점 기준을 확인하며 짧은 기간 논술 준비에 집중해야 한다. 연세대·서울시립대·홍익대 등이 수능 전 논술고사를 실시할 예정이다. 또...,2026-09-24 08:00,https://www.news1.kr/society/education/6300292,https://n.news.naver.com/mnews/article/421/0009189967?sid=102
연세대학교,연합뉴스,"""수시접수 일반대학 73％, 수험번호로 실제 경쟁률 유추 가능""","24일 국회 교육위원회 위원장인 국민의힘 김희정 의원이 한국대학교육협의회를 통해 분석한 결과, 자료를... 이들 대학에는 연세대와 고려대, 한양대 등 서울 소재 대학 30개교뿐만 아니라 부산대와 인천대, 충북대...",2026-09-24 08:00,https://www.yna.co.kr/view/AKR20260923185700001?input=1195m,https://n.news.naver.com/mnews/article/001/0016334307?sid=102
고려대학교,SBS,"100알 계산대 올리자…복약 지도도 없이 ""일시불로?""",[이성우/고려대 안암병원 응급의학과 교수 : (수면유도제 과다 복용 시) 가장 치명적인 부작용은 심장 부정맥입니다. 곧장 심정지로 이어질 수 있습니다. (슈도에페드린 함유 일반의약품은) 환각 등 오남용 목적으로 쓰이는...,2026-09-24 07:49,https://news.sbs.co.kr/news/endPage.do?news_id=N1008768626&plink=ORI&cooper=NAVER,https://n.news.naver.com/mnews/article/055/0001390833?sid=102
고려대학교,DAILYSECU,"[김승주 교수 칼럼] 국가 사이버복원력, 어디서부터 시작해야 하나","정책의 출발점은 ""무엇을 새로 만들 것인가?""가 아니라 ""공격을 받아도 국가가 반드시 해야 할 무엇을 끝까지 해낼 것인가?""를 정하는 것​이어야 한다. [글. 김승주 고려대학교 정보보호대학원 교수]",2026-09-24 07:44,https://www.dailysecu.com/news/articleView.html?idxno=208591,https://www.dailysecu.com/news/articleView.html?idxno=208591
서울대학교,이데일리,"""억대 성과급 '그들만의 잔치' 아닌 기부로 연결하라""",(사진=김태형 기자) ■이인용 이사장은… △1957년 경북 안동 △중앙고 △서울대 동양사학과 △2002~2003년 미국 하버드대 니만 펠로우(Nieman Fellow) △MBC 보도국 기자·뉴스데스크 앵커·보도국 부국장 △숙명여대 언론정보학부...,2026-09-24 07:32,https://www.edaily.co.kr/News/Read?newsId=01754806645583400&mediaCodeNo=257&utm_source=naver&utm_medium=referral&utm_campaign=news_syndication&utm_content=original_article,https://n.news.naver.com/mnews/article/018/0006375232?sid=103
연세대학교,NEWSVERSE,"자폐는 왜 생기나…부모 탓 아닌데, 발견과 지원 책임은 왜 가족 몫인가","서울대 농학과를 거쳐 연세대 대학원 경제학과에서 경제학을 전공한 뒤 9년간 한국신용정보에서 기업 평가·금융VAN업무를 수행했고, 서울대 농생대 창업보육센터에서 3년간 보육매니저로 창업보육 업무를 했다. 현재...",2026-09-24 07:20,https://www.newsverse.kr/news/articleView.html?idxno=11472,https://www.newsverse.kr/news/articleView.html?idxno=11472
서울대학교,NEWSVERSE,"자폐는 왜 생기나…부모 탓 아닌데, 발견과 지원 책임은 왜 가족 몫인가","서울대 농학과를 거쳐 연세대 대학원 경제학과에서 경제학을 전공한 뒤 9년간 한국신용정보에서 기업 평가·금융VAN업무를 수행했고, 서울대 농생대 창업보육센터에서 3년간 보육매니저로 창업보육 업무를 했다. 현재...",2026-09-24 07:20,https://www.newsverse.kr/news/articleView.html?idxno=11472,https://www.newsverse.kr/news/articleView.html?idxno=11472
서울대학교,FNTIMES,"[프로필] ‘기업금융 외길’ 김경호 부행장, 6년 만의 씨티은행 새 수장...",1968년생인 김경호 내정자는 서울대 국제경제학과를 졸업한 뒤 삼성물산에서 경영관리 업무를 맡았고 미국 매사추세츠공대(MIT)에서 MBA를 마쳤다. 맥킨지앤컴퍼니 컨설턴트를 거쳐 2001년 씨티은행 서울지점...,2026-09-24 07:02,https://www.fntimes.com/html/view.php?ud=2026092312241080675e6e69892f_18,https://www.fntimes.com/html/view.php?ud=2026092312241080675e6e69892f_18
서울대학교,헤럴드경제,"“신입도 1.4억 보너스” 마이크론, 韓·대만 대학 훑으며 인재쟁탈전 ...",고려대·서울대·한양대를 찾아 채용 설명회를 진행한 바 있다. 대만을 넘어 삼성전자·SK하이닉스의 안방에서 공격적인 행보를 이어가는 중이다. 마이크론은 이달 21일부터 국립대만대학교를 시작으로 다음달까지 대만...,2026-09-24 07:01,https://biz.heraldcorp.com/article/10883196?ref=naver,https://n.news.naver.com/mnews/article/016/0002701555?sid=101
연세대학교,뉴시스,K자 양극화 해법 찾을까…집값·물가 안정도 숙제 [이형일호 출범②],"김정식 연세대 경제학과 명예교수는 ""반도체 호황의 성과가 관련 기업과 근로자에게 집중되면서 비반도체 업종과의 소득 격차가 커지고 있다""며 ""반도체 산업이 수도권에 집중된 만큼 서울·수도권과 지방 간 불균형도...",2026-09-24 07:00,https://www.newsis.com/view/NISX20260924_0003802799,https://n.news.naver.com/mnews/article/003/0014211886?sid=101
